date,consumption_kwh
2021-08-02 12:00:00-03:00,0.1342213119
2021-08-02 13:00:00-03:00,0.150778941
2021-08-02 14:00:00-03:00,0.1587542949
2021-08-02 15:00:00-03:00,0.1586070157
2021-08-02 16:00:00-03:00,0.1372632881
2021-08-02 17:00:00-03:00,0.1147724837
2021-08-02 18:00:00-03:00,0.1554597841
2021-08-02 19:00:00-03:00,0.1807987048
2021-08-02 20:00:00-03:00,0.1874127443
2021-08-02 21:00:00-03:00,0.2987249726
2021-08-02 22:00:00-03:00,0.2412140366
2021-08-02 23:00:00-03:00,0.2431335628
2021-08-03 00:00:00-03:00,0.2737159012
2021-08-03 01:00:00-03:00,0.2760373474
2021-08-03 02:00:00-03:00,0.2490008682
2021-08-03 03:00:00-03:00,0.2485134923
2021-08-03 04:00:00-03:00,0.2495054476
2021-08-03 05:00:00-03:00,0.1950334827
2021-08-03 06:00:00-03:00,0.1342563487
2021-08-03 07:00:00-03:00,0.0924699715
2021-08-03 08:00:00-03:00,0.4045405155
2021-08-03 09:00:00-03:00,0.1973132378
2021-08-03 10:00:00-03:00,0.1439499535
2021-08-03 11:00:00-03:00,0.1652496813
2021-08-03 12:00:00-03:00,0.1445159034
2021-08-03 13:00:00-03:00,0.1742335616
2021-08-03 14:00:00-03:00,0.1899242314
2021-08-03 15:00:00-03:00,0.158021119
2021-08-03 16:00:00-03:00,0.1674082899
2021-08-03 17:00:00-03:00,0.1881788147
2021-08-03 18:00:00-03:00,0.1631739193
2021-08-03 19:00:00-03:00,0.2672191092
2021-08-03 20:00:00-03:00,0.3114821354
2021-08-03 21:00:00-03:00,0.238613208
2021-08-03 22:00:00-03:00,0.2417317914
2021-08-03 23:00:00-03:00,0.2660705362
2021-08-04 00:00:00-03:00,0.2704733202
2021-08-04 01:00:00-03:00,0.2535741849
2021-08-04 02:00:00-03:00,0.253130353
2021-08-04 03:00:00-03:00,0.2504889586
2021-08-04 04:00:00-03:00,0.2449833775
2021-08-04 05:00:00-03:00,0.2188908984
2021-08-04 06:00:00-03:00,0.1335392793
2021-08-04 07:00:00-03:00,0.1689257688
2021-08-04 08:00:00-03:00,0.134232967
2021-08-04 09:00:00-03:00,0.1072811331
2021-08-04 10:00:00-03:00,0.0
2021-08-04 11:00:00-03:00,0.0
2021-08-04 12:00:00-03:00,0.0129324207
2021-08-04 13:00:00-03:00,0.1456526143
2021-08-04 14:00:00-03:00,0.0839149654
2021-08-04 15:00:00-03:00,0.16344063
2021-08-04 16:00:00-03:00,0.1663695307
2021-08-04 17:00:00-03:00,0.1358138248
2021-08-04 18:00:00-03:00,0.1866984425
2021-08-04 19:00:00-03:00,0.1655803614
2021-08-04 20:00:00-03:00,0.1358878581
2021-08-04 21:00:00-03:00,0.1714343284
2021-08-04 22:00:00-03:00,0.2198563508
2021-08-04 23:00:00-03:00,0.2418053915
2021-08-05 00:00:00-03:00,0.2369631822
2021-08-05 01:00:00-03:00,0.236699925
2021-08-05 02:00:00-03:00,0.2129756026
2021-08-05 03:00:00-03:00,0.240032882
2021-08-05 04:00:00-03:00,0.2377323766
2021-08-05 05:00:00-03:00,0.1927901186
2021-08-05 06:00:00-03:00,0.1275777006
2021-08-05 07:00:00-03:00,0.1171730566
2021-08-05 08:00:00-03:00,0.160159506
2021-08-05 09:00:00-03:00,0.1514819124
2021-08-05 10:00:00-03:00,0.1516835567
2021-08-05 11:00:00-03:00,0.2981046549
2021-08-05 12:00:00-03:00,0.1598240173
2021-08-05 13:00:00-03:00,0.1840092278
